node, cluster/community
0,0
1,6
2,2
3,2
4,1
5,4
6,1
7,5
8,3
9,0
10,0
11,5
12,4
13,4
14,2
15,2
16,3
17,3
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,3
27,3
28,2
29,2
31,6
32,6
33,6
34,0
35,0
36,4
37,5
38,4
39,6
40,6
41,6
42,5
43,5
44,5
45,3
46,2
47,2
48,3
49,1
50,1
52,6
53,6
54,1
57,1
63,2
64,2
67,3
70,2
71,2
72,2
73,3
74,2
75,2
84,0
85,0
86,4
87,4
88,6
89,6
90,0
91,0
92,4
93,4
94,6
95,6
97,5
98,6
99,6
100,4
102,5
103,5
105,5
107,4
108,4
112,5
114,5
116,5
117,5
119,5
