node, cluster/community
0,0
1,1
2,2
3,3
4,4
5,0
6,4
7,6
8,7
9,4
10,6
11,6
12,6
13,6
14,8
15,7
16,0
24,5
27,3
28,3
29,3
30,3
31,3
32,6
34,6
35,6
36,6
37,6
38,8
39,7
40,6
42,6
43,1
44,1
45,1
46,1
47,1
48,0
49,0
51,2
52,2
53,5
54,4
55,7
56,7
57,7
58,7
59,5
60,4
61,5
62,4
63,5
64,4
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,6
76,6
77,6
78,6
79,6
80,6
81,7
82,6
83,6
84,6
85,7
86,7
87,6
88,8
89,6
90,6
91,1
92,0
93,4
94,7
95,7
96,7
97,0
98,6
99,6
