17,Calls,12
19,Calls,13
20,Calls,10
21,Calls,12
26,Calls,13
28,Calls,13
30,Calls,12
32,Calls,13
34,Calls,36
34,Calls,35
36,Calls,11
37,Calls,12
38,Calls,13
39,Calls,12
40,Calls,42
40,Calls,41
42,Calls,15
10,Persists,3
11,Persists,0
12,Persists,0
13,Persists,0
14,Persists,0
15,Persists,6
17,Uses,0
17,Uses,2
17,Uses,1
19,Uses,0
19,Uses,1
20,Uses,3
21,Uses,0
22,Uses,2
25,Uses,0
25,Uses,2
26,Uses,0
26,Uses,2
27,Uses,0
27,Uses,2
28,Uses,2
28,Uses,0
30,Uses,0
31,Uses,0
32,Uses,0
33,Uses,0
34,Uses,0
35,Uses,0
36,Uses,0
37,Uses,0
38,Uses,0
39,Uses,0
40,Uses,5
40,Uses,6
41,Uses,6
42,Uses,6
43,Uses,5
0,References,2
0,Extends,8
1,Extends,7
2,References,3
2,References,1
2,Extends,9
3,Extends,9
4,Extends,9
5,References,6
6,References,4
6,Extends,8
8,Extends,7
9,Extends,7
